id,y_prob
15,0.23142509
16,0.22239037
17,0.18823
18,0.55508924
19,0.33697817
21,0.3281752
24,0.26533985
25,0.38346055
27,0.25492573
29,0.53328747
30,0.62228006
31,0.15460698
32,0.25306526
33,0.34019068
34,0.19871886
35,0.44102538
36,0.6332452
37,0.74552715
38,0.69851875
39,0.47376183
40,0.23626967
41,0.8332964
42,0.5746727
43,0.13926966
44,0.63330436
45,0.688778
46,0.2240435
47,0.74216896
48,0.20704876
49,0.19770564
50,0.72380424
51,0.8988781
52,0.64288193
53,0.6095774
54,0.07596317
55,0.5753095
56,0.40917096
57,0.09821191
58,0.32838675
59,0.74121857
60,0.29580224
61,0.631389
62,0.6208376
63,0.58636916
64,0.622939
65,0.6615349
66,0.42269182
67,0.6733064
68,0.83657
69,0.9279471
70,0.20276488
71,0.7666367
72,0.20614429
73,0.27549946
74,0.3294563
75,0.31203127
76,0.33835492
77,0.24255358
78,0.13137399
79,0.5585175
80,0.5746711
81,0.26448852
82,0.36698708
83,0.79518825
84,0.29568747
85,0.3957142
86,0.79908943
87,0.43123522
88,0.26304704
89,0.7530994
90,0.46054626
91,0.2565862
92,0.5268212
93,0.44253817
94,0.3337583
95,0.74748987
96,0.2593451
97,0.35874772
98,0.15678394
99,0.667432
100,0.26526582
101,0.43042314
102,0.46112242
103,0.36391297
104,0.5340343
105,0.16549528
106,0.079210624
107,0.21543007
108,0.6753907
109,0.31820938
110,0.24789838
111,0.3944499
112,0.7886672
113,0.37859288
114,0.3078575
115,0.4828227
116,0.4640566
117,0.42408744
118,0.28998423
119,0.53780353
120,0.33605462
121,0.1427535
122,0.58814186
123,0.5412729
124,0.31202075
125,0.1224226
126,0.31410855
127,0.2102047
128,0.39193824
129,0.07527195
130,0.14429893
131,0.4907791
132,0.39752096
133,0.12299936
134,0.42549744
135,0.2899215
136,0.17206016
137,0.3234142
138,0.7891314
139,0.2911416
140,0.19232273
141,0.5781408
142,0.528494
143,0.3669421
144,0.37095493
145,0.18501674
146,0.3857376
147,0.6983316
148,0.6251691
149,0.5091647
150,0.58504224
151,0.31598514
152,0.25452173
153,0.21273835
154,0.44895983
155,0.4120484
156,0.42815036
157,0.223304
158,0.5546292
159,0.40159893
160,0.28800705
161,0.28917855
162,0.7953634
163,0.21876986
164,0.17013001
165,0.7327379
166,0.19314119
167,0.31642434
168,0.8250419
169,0.29376927
170,0.5706104
171,0.7355066
172,0.045641672
173,0.3047169
174,0.37625337
175,0.59981185
176,0.7689127
177,0.6813224
178,0.16664611
179,0.2919474
180,0.8318738
181,0.73883986
182,0.39919925
183,0.22840753
184,0.37619913
185,0.3978909
186,0.70416576
187,0.19229892
188,0.62795025
189,0.2664073
190,0.45727593
191,0.6888309
192,0.18464342
193,0.6608821
194,0.6861577
195,0.41614425
196,0.790816
197,0.23192179
198,0.4819461
199,0.6622639
